key,site1_field,site2_field
ad_flag,ad,
age,lft,
amyloid_beta_1_42,csf_klin_amyloidbeta42_1,
angina_pectoris,angp,
apoe_genotype,apoe_genotype,
apoe4_carrier,,
avlt_delayed,wltdr,
avlt_delayed_z_score,,
avlt_immediate,wlttot,
avlt_immediate_z_score,,
birth_date_day,gebdag,
birth_date_month,gebmnd,
birth_date_year,gebjr,
bleeding,cerebb,
bp_diastolic,vsndbp,
bp_systolic,vsnsbp,
care_site,,
carotid_stenosis,carot,
category_fluency_sum,,
cdr_total,cdrtot,
copd,copd,
coronary_bypass,corb,
delirium,delir,
depression,depds,
diabetes_mellitus,diabml,
diagnosis,diag,
dig_span_backward,digspanaw,
dig_span_forward,digspanvw,
dotter_stent,dott,
faq,,
gds_score,gdsscore,
gender,sex,
hds,hdrstot,
height,lengte,
honingraat,honingraat,
hypertension,hypert,
hyperthyroidism,hypetf,
hypothyroidism,hypotf,
iadl_total,iadl_qtot,
kidney,kidney,
kubus12,kubus_12,
kubus9,kubus_9,
liver,liver,
meander,meander,
mmse_total,mmsetot,
mri,mri,
myocardial_infarction,myoc,
npi_q_total,npi_tot,
other_cardiovascular,cavdo,
other_cerebrovascular,cevdo,
other_endocrine,enddo,
other_psychiatric,psydo,
other_somatic,somdo,
otherdem_flag,otherdem,
person_id,pin,
phosphorylated_tau,csf_klin_phospor_tau,
priority_attention,,
priority_attention_type,,
priority_attention_z_score,,
priority_executive,,
priority_executive_type,,
priority_executive_z_score,,
priority_language,,
priority_language_type,,
priority_memory_delayed,,
priority_memory_delayed_z_score,,
priority_memory_immediate,,
priority_memory_immediate_z_score,,
priority_memory_type,,
story_delayed,verhaal_uitg,
story_immediate,verhaal_onm,
stroop1,str1,
stroop1_z_score,,
stroop2,str2,
stroop2_z_score,,
stroop3,str3,
stroop4_z_score,,
tia,tia,
tmta,tmta,
tmta_z_score,,
tmtb,tmtb,
tmtb_z_score,,
tmtc,tmtc,
tmtc_z_score,,
total_tau,csf_klin_total_tau,
vad_flag,vad,
vat_tot,vattot,
vat_vers,vatvorm,
visit_date,,
visit_date_day,testdag,
visit_date_month,testmnd,
visit_date_year,testjr,
visit_number,nob_volgnr,
vrbl_fluency_mode_1,wmod1,
vrbl_fluency_mode_2,wmod2,
vrbl_fluency_score_1,wgoed1,
vrbl_fluency_score_2,wgoed2,
weight,gewicht,
years_education,edu_years,
